Nomor laporan,Kategori,Lat,Lng,Kelurahan,Kecamatan,Kota,Provinsi,Day
1103735,Kaki Lima Liar,-6.183807,106.856026,Johar Baru,Johar Baru,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday
1103865,Kaki Lima Liar,-6.226389,106.803329,Gelora,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday
1104919,Kaki Lima Liar,-6.162912,106.812599,Petojo Utara,Gambir,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Monday
1105200,Kaki Lima Liar,-6.198013,106.803551,Petamburan,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1105203,Kaki Lima Liar,-6.199348,106.802368,Petamburan,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1105417,Kaki Lima Liar,-6.169432,106.808365,Cideng,Gambir,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Wednesday
1105513,Kaki Lima Liar,-6.161515,106.845528,Kemayoran,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Wednesday
1105514,Kaki Lima Liar,-6.161597,106.845497,Kemayoran,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Wednesday
1106156,Kaki Lima Liar,-6.161829,106.819405,Petojo Utara,Gambir,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday
1106196,Kaki Lima Liar,-6.207018,106.808693,Bendungan Hilir,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday
1106197,Kaki Lima Liar,-6.207018,106.808693,Bendungan Hilir,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday
1106978,Kaki Lima Liar,-6.218122,106.798111,Gelora,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Sunday
1107201,Kaki Lima Liar,-6.20658,106.80938,Bendungan Hilir,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Monday
